dg_1  | TRACE_LOG INFO {"eventTime":"2021-04-01T08:35:00,003","logger":"org.mongodb.driver.connection","message":"Opened connection [connectionId{localValue:8, serverValue:16}] to mongo:27017","traceId":"","processId":"","threadId":"65","threadName":"idleMonitor-4","resourceUri":"","identityId":" [] ","clientId":"","sessionId":"","errorId":"[] ", "stackTrace":""}
dg_1  | TRACE_LOG INFO {"eventTime":"2021-04-01T08:35:00,003","logger":"org.mongodb.driver.connection","message":"Opened connection [connectionId{localValue:10, serverValue:17}] to mongo:27017","traceId":"","processId":"","threadId":"63","threadName":"idleMonitor-2","resourceUri":"","identityId":" [] ","clientId":"","sessionId":"","errorId":"[] ", "stackTrace":""}
dg_1  | TRACE_LOG INFO {"eventTime":"2021-04-01T08:35:00,003","logger":"org.mongodb.driver.connection","message":"Opened connection [connectionId{localValue:9, serverValue:18}] to mongo:27017","traceId":"","processId":"","threadId":"66","threadName":"idleMonitor-5","resourceUri":"","identityId":" [] ","clientId":"","sessionId":"","errorId":"[] ", "stackTrace":""}
dg_1  | TRACE_LOG INFO {"eventTime":"2021-04-01T08:36:16,634","logger":"org.mongodb.driver.connection","message":"Closed connection [connectionId{localValue:2, serverValue:10}] to mongo:27017 because it is past its maximum allowed idle time.","traceId":"","processId":"","threadId":"32","threadName":"MaintenanceTimer-1-thread-1","resourceUri":"","identityId":" [] ","clientId":"","sessionId":"","errorId":"[] ", "stackTrace":""}
dg_1  | TRACE_LOG INFO {"eventTime":"2021-04-01T08:36:20,032","logger":"org.mongodb.driver.connection","message":"Closed connection [connectionId{localValue:8, serverValue:16}] to mongo:27017 because it is past its maximum allowed idle time.","traceId":"","processId":"","threadId":"54","threadName":"MaintenanceTimer-3-thread-1","resourceUri":"","identityId":" [] ","clientId":"","sessionId":"","errorId":"[] ", "stackTrace":""}
dg_1  | TRACE_LOG INFO {"eventTime":"2021-04-01T08:36:20,033","logger":"org.mongodb.driver.connection","message":"Closed connection [connectionId{localValue:9, serverValue:18}] to mongo:27017 because it is past its maximum allowed idle time.","traceId":"","processId":"","threadId":"54","threadName":"MaintenanceTimer-3-thread-1","resourceUri":"","identityId":" [] ","clientId":"","sessionId":"","errorId":"[] ", "stackTrace":""}
dg_1  | TRACE_LOG INFO {"eventTime":"2021-04-01T08:36:20,033","logger":"org.mongodb.driver.connection","message":"Closed connection [connectionId{localValue:7, serverValue:15}] to mongo:27017 because it is past its maximum allowed idle time.","traceId":"","processId":"","threadId":"54","threadName":"MaintenanceTimer-3-thread-1","resourceUri":"","identityId":" [] ","clientId":"","sessionId":"","errorId":"[] ", "stackTrace":""}
dg_1  | TRACE_LOG INFO {"eventTime":"2021-04-01T08:36:20,034","logger":"org.mongodb.driver.connection","message":"Closed connection [connectionId{localValue:4, serverValue:12}] to mongo:27017 because it is past its maximum allowed idle time.","traceId":"","processId":"","threadId":"54","threadName":"MaintenanceTimer-3-thread-1","resourceUri":"","identityId":" [] ","clientId":"","sessionId":"","errorId":"[] ", "stackTrace":""}
dg_1  | TRACE_LOG INFO {"eventTime":"2021-04-01T08:36:20,034","logger":"org.mongodb.driver.connection","message":"Closed connection [connectionId{localValue:10, serverValue:17}] to mongo:27017 because it is past its maximum allowed idle time.","traceId":"","processId":"","threadId":"54","threadName":"MaintenanceTimer-3-thread-1","resourceUri":"","identityId":" [] ","clientId":"","sessionId":"","errorId":"[] ", "stackTrace":""}
